	Plate	Well	Frames	Well Number	Control Type	Original Gene Target
73295	LT0066_23	N24	50	336	positive control	COPB
73311	LT0066_23	O16	50	352	negative control	
73322	LT0066_23	P3	50	363	negative control	
73340	LT0066_23	P21	50	381	positive control	COPB
73343	LT0066_23	P24	50	384	positive control	COPB
73347	LT0067_02	A4	50	4	positive control	ENSG00000149503
73358	LT0067_02	A15	50	15	negative control	
73369	LT0067_02	B2	50	26	negative control	
73392	LT0067_02	C1	50	49	positive control	ENSG00000149503
73395	LT0067_02	C4	50	52	positive control	ENSG00000149503
73406	LT0067_02	C15	50	63	negative control	
73417	LT0067_02	D2	50	74	negative control	
73647	LT0067_02	M16	50	304	negative control	
73658	LT0067_02	N3	50	315	negative control	
73676	LT0067_02	N21	50	333	positive control	COPB
73679	LT0067_02	N24	50	336	positive control	COPB
73695	LT0067_02	O16	50	352	negative control	
73706	LT0067_02	P3	50	363	negative control	
73724	LT0067_02	P21	50	381	positive control	COPB
73727	LT0067_02	P24	50	384	positive control	COPB
73728	LT0067_07	A1	50	1	positive control	ENSG00000149503
73731	LT0067_07	A4	50	4	positive control	ENSG00000149503
73742	LT0067_07	A15	50	15	negative control	
73753	LT0067_07	B2	50	26	negative control	
73776	LT0067_07	C1	50	49	positive control	ENSG00000149503
73779	LT0067_07	C4	50	52	positive control	ENSG00000149503
73790	LT0067_07	C15	50	63	negative control	
73801	LT0067_07	D2	50	74	negative control	
74031	LT0067_07	M16	50	304	negative control	
74042	LT0067_07	N3	50	315	negative control	
74060	LT0067_07	N21	50	333	positive control	COPB
74063	LT0067_07	N24	50	336	positive control	COPB
74079	LT0067_07	O16	50	352	negative control	
74090	LT0067_07	P3	50	363	negative control	
74108	LT0067_07	P21	50	381	positive control	COPB
74111	LT0067_07	P24	50	384	positive control	COPB
74112	LT0067_11	A1	50	1	positive control	ENSG00000149503
74115	LT0067_11	A4	50	4	positive control	ENSG00000149503
74126	LT0067_11	A15	50	15	negative control	
74137	LT0067_11	B2	50	26	negative control	
74160	LT0067_11	C1	50	49	positive control	ENSG00000149503
74163	LT0067_11	C4	50	52	positive control	ENSG00000149503
74174	LT0067_11	C15	50	63	negative control	
74185	LT0067_11	D2	50	74	negative control	
74415	LT0067_11	M16	50	304	negative control	
74426	LT0067_11	N3	50	315	negative control	
74444	LT0067_11	N21	50	333	positive control	COPB
74447	LT0067_11	N24	50	336	positive control	COPB
74463	LT0067_11	O16	50	352	negative control	
74474	LT0067_11	P3	50	363	negative control	
74492	LT0067_11	P21	50	381	positive control	COPB
74495	LT0067_11	P24	50	384	positive control	COPB
74496	LT0067_37	A1	50	1	positive control	ENSG00000149503
74499	LT0067_37	A4	50	4	positive control	ENSG00000149503
74510	LT0067_37	A15	50	15	negative control	
74521	LT0067_37	B2	50	26	negative control	
74544	LT0067_37	C1	50	49	positive control	ENSG00000149503
74547	LT0067_37	C4	50	52	positive control	ENSG00000149503
74558	LT0067_37	C15	50	63	negative control	
74569	LT0067_37	D2	50	74	negative control	
74799	LT0067_37	M16	50	304	negative control	
74810	LT0067_37	N3	50	315	negative control	
74828	LT0067_37	N21	50	333	positive control	COPB
74831	LT0067_37	N24	50	336	positive control	COPB
74847	LT0067_37	O16	50	352	negative control	
74858	LT0067_37	P3	50	363	negative control	
74876	LT0067_37	P21	50	381	positive control	COPB
74879	LT0067_37	P24	50	384	positive control	COPB
74880	LT0068_01	A1	50	1	positive control	ENSG00000149503
74883	LT0068_01	A4	50	4	positive control	ENSG00000149503
74894	LT0068_01	A15	50	15	negative control	
74905	LT0068_01	B2	50	26	negative control	
74928	LT0068_01	C1	50	49	positive control	ENSG00000149503
74931	LT0068_01	C4	50	52	positive control	ENSG00000149503
74942	LT0068_01	C15	50	63	negative control	
74953	LT0068_01	D2	50	74	negative control	
75183	LT0068_01	M16	50	304	negative control	
75194	LT0068_01	N3	50	315	negative control	
75212	LT0068_01	N21	50	333	positive control	COPB
75215	LT0068_01	N24	50	336	positive control	COPB
75231	LT0068_01	O16	50	352	negative control	
75242	LT0068_01	P3	50	363	negative control	
75260	LT0068_01	P21	50	381	positive control	COPB
75263	LT0068_01	P24	50	384	positive control	COPB
75264	LT0068_43	A1	50	1	positive control	ENSG00000149503
75267	LT0068_43	A4	50	4	positive control	ENSG00000149503
75278	LT0068_43	A15	50	15	negative control	
75289	LT0068_43	B2	50	26	negative control	
75312	LT0068_43	C1	50	49	positive control	ENSG00000149503
75315	LT0068_43	C4	50	52	positive control	ENSG00000149503
75326	LT0068_43	C15	50	63	negative control	
75337	LT0068_43	D2	50	74	negative control	
75567	LT0068_43	M16	50	304	negative control	
75578	LT0068_43	N3	50	315	negative control	
75596	LT0068_43	N21	50	333	positive control	COPB
75599	LT0068_43	N24	50	336	positive control	COPB
75615	LT0068_43	O16	50	352	negative control	
75626	LT0068_43	P3	50	363	negative control	
75644	LT0068_43	P21	50	381	positive control	COPB
75647	LT0068_43	P24	50	384	positive control	COPB
75648	LT0068_45	A1	50	1	positive control	ENSG00000149503
75651	LT0068_45	A4	50	4	positive control	ENSG00000149503
75662	LT0068_45	A15	50	15	negative control	
75673	LT0068_45	B2	50	26	negative control	
75696	LT0068_45	C1	50	49	positive control	ENSG00000149503
75699	LT0068_45	C4	50	52	positive control	ENSG00000149503
75710	LT0068_45	C15	50	63	negative control	
75721	LT0068_45	D2	50	74	negative control	
75951	LT0068_45	M16	50	304	negative control	
75962	LT0068_45	N3	50	315	negative control	
75980	LT0068_45	N21	50	333	positive control	COPB
75983	LT0068_45	N24	50	336	positive control	COPB
75999	LT0068_45	O16	50	352	negative control	
76010	LT0068_45	P3	50	363	negative control	
76028	LT0068_45	P21	50	381	positive control	COPB
76031	LT0068_45	P24	50	384	positive control	COPB
76032	LT0069_41	A1	50	1	positive control	ENSG00000149503
76035	LT0069_41	A4	50	4	positive control	ENSG00000149503
76046	LT0069_41	A15	50	15	negative control	
76057	LT0069_41	B2	50	26	negative control	
76080	LT0069_41	C1	50	49	positive control	ENSG00000149503
76083	LT0069_41	C4	50	52	positive control	ENSG00000149503
76094	LT0069_41	C15	50	63	negative control	
76105	LT0069_41	D2	50	74	negative control	
76335	LT0069_41	M16	50	304	negative control	
76346	LT0069_41	N3	50	315	negative control	
76364	LT0069_41	N21	50	333	positive control	COPB
76367	LT0069_41	N24	50	336	positive control	COPB
76383	LT0069_41	O16	50	352	negative control	
76394	LT0069_41	P3	50	363	negative control	
76412	LT0069_41	P21	50	381	positive control	COPB
76415	LT0069_41	P24	50	384	positive control	COPB
76416	LT0069_45	A1	50	1	positive control	ENSG00000149503
76419	LT0069_45	A4	50	4	positive control	ENSG00000149503
76430	LT0069_45	A15	50	15	negative control	
76441	LT0069_45	B2	50	26	negative control	
76464	LT0069_45	C1	50	49	positive control	ENSG00000149503
76467	LT0069_45	C4	50	52	positive control	ENSG00000149503
76478	LT0069_45	C15	50	63	negative control	
76489	LT0069_45	D2	50	74	negative control	
76719	LT0069_45	M16	50	304	negative control	
76730	LT0069_45	N3	50	315	negative control	
76748	LT0069_45	N21	50	333	positive control	COPB
76751	LT0069_45	N24	50	336	positive control	COPB
76767	LT0069_45	O16	50	352	negative control	
76778	LT0069_45	P3	50	363	negative control	
76796	LT0069_45	P21	50	381	positive control	COPB
76799	LT0069_45	P24	50	384	positive control	COPB
76800	LT0069_51	A1	50	1	positive control	ENSG00000149503
76803	LT0069_51	A4	50	4	positive control	ENSG00000149503
76814	LT0069_51	A15	50	15	negative control	
76825	LT0069_51	B2	50	26	negative control	
76848	LT0069_51	C1	50	49	positive control	ENSG00000149503
76851	LT0069_51	C4	50	52	positive control	ENSG00000149503
76862	LT0069_51	C15	50	63	negative control	
76873	LT0069_51	D2	50	74	negative control	
77103	LT0069_51	M16	50	304	negative control	
77114	LT0069_51	N3	50	315	negative control	
77132	LT0069_51	N21	50	333	positive control	COPB
77135	LT0069_51	N24	50	336	positive control	COPB
77151	LT0069_51	O16	50	352	negative control	
77162	LT0069_51	P3	50	363	negative control	
77180	LT0069_51	P21	50	381	positive control	COPB
77183	LT0069_51	P24	50	384	positive control	COPB
77184	LT0069_52	A1	50	1	positive control	ENSG00000149503
77187	LT0069_52	A4	50	4	positive control	ENSG00000149503
77198	LT0069_52	A15	50	15	negative control	
77209	LT0069_52	B2	50	26	negative control	
77232	LT0069_52	C1	50	49	positive control	ENSG00000149503
77235	LT0069_52	C4	50	52	positive control	ENSG00000149503
77246	LT0069_52	C15	50	63	negative control	
77257	LT0069_52	D2	50	74	negative control	
77487	LT0069_52	M16	50	304	negative control	
77498	LT0069_52	N3	50	315	negative control	
77516	LT0069_52	N21	50	333	positive control	COPB
77519	LT0069_52	N24	50	336	positive control	COPB
77535	LT0069_52	O16	50	352	negative control	
77546	LT0069_52	P3	50	363	negative control	
77564	LT0069_52	P21	50	381	positive control	COPB
77567	LT0069_52	P24	50	384	positive control	COPB
77568	LT0070_39	A1	50	1	positive control	ENSG00000149503
77571	LT0070_39	A4	50	4	positive control	ENSG00000149503
77582	LT0070_39	A15	50	15	negative control	
77593	LT0070_39	B2	50	26	negative control	
77616	LT0070_39	C1	50	49	positive control	ENSG00000149503
77630	LT0070_39	C15	50	63	negative control	
77641	LT0070_39	D2	50	74	negative control	
77871	LT0070_39	M16	50	304	negative control	
77882	LT0070_39	N3	50	315	negative control	
77900	LT0070_39	N21	50	333	positive control	COPB
77903	LT0070_39	N24	50	336	positive control	COPB
77919	LT0070_39	O16	50	352	negative control	
77930	LT0070_39	P3	50	363	negative control	
77948	LT0070_39	P21	50	381	positive control	COPB
77951	LT0070_39	P24	50	384	positive control	COPB
77952	LT0070_40	A1	50	1	positive control	ENSG00000149503
77955	LT0070_40	A4	50	4	positive control	ENSG00000149503
77966	LT0070_40	A15	50	15	negative control	
77977	LT0070_40	B2	50	26	negative control	
78000	LT0070_40	C1	50	49	positive control	ENSG00000149503
78003	LT0070_40	C4	50	52	positive control	ENSG00000149503
78014	LT0070_40	C15	50	63	negative control	
78025	LT0070_40	D2	50	74	negative control	
78255	LT0070_40	M16	50	304	negative control	
78266	LT0070_40	N3	50	315	negative control	
78284	LT0070_40	N21	50	333	positive control	COPB
78287	LT0070_40	N24	50	336	positive control	COPB
78303	LT0070_40	O16	50	352	negative control	
78332	LT0070_40	P21	50	381	positive control	COPB
78335	LT0070_40	P24	50	384	positive control	COPB
78339	LT0070_41	A4	50	4	positive control	ENSG00000149503
78350	LT0070_41	A15	50	15	negative control	
78361	LT0070_41	B2	50	26	negative control	
78384	LT0070_41	C1	50	49	positive control	ENSG00000149503
78387	LT0070_41	C4	50	52	positive control	ENSG00000149503
78398	LT0070_41	C15	50	63	negative control	
78409	LT0070_41	D2	50	74	negative control	
78639	LT0070_41	M16	50	304	negative control	
78650	LT0070_41	N3	50	315	negative control	
78668	LT0070_41	N21	50	333	positive control	COPB
78687	LT0070_41	O16	50	352	negative control	
78698	LT0070_41	P3	50	363	negative control	
78716	LT0070_41	P21	50	381	positive control	COPB
78719	LT0070_41	P24	50	384	positive control	COPB
78720	LT0071_02	A1	50	1	positive control	ENSG00000149503
78723	LT0071_02	A4	50	4	positive control	ENSG00000149503
78734	LT0071_02	A15	50	15	negative control	
78745	LT0071_02	B2	50	26	negative control	
78768	LT0071_02	C1	50	49	positive control	ENSG00000149503
78771	LT0071_02	C4	50	52	positive control	ENSG00000149503
78782	LT0071_02	C15	50	63	negative control	
78793	LT0071_02	D2	50	74	negative control	
79023	LT0071_02	M16	50	304	negative control	
79034	LT0071_02	N3	50	315	negative control	
79052	LT0071_02	N21	50	333	positive control	COPB
79055	LT0071_02	N24	50	336	positive control	COPB
79071	LT0071_02	O16	50	352	negative control	
79082	LT0071_02	P3	50	363	negative control	
79100	LT0071_02	P21	50	381	positive control	COPB
79103	LT0071_02	P24	50	384	positive control	COPB
79104	LT0071_44	A1	50	1	positive control	ENSG00000149503
79107	LT0071_44	A4	50	4	positive control	ENSG00000149503
79118	LT0071_44	A15	50	15	negative control	
79129	LT0071_44	B2	50	26	negative control	
79152	LT0071_44	C1	50	49	positive control	ENSG00000149503
79155	LT0071_44	C4	50	52	positive control	ENSG00000149503
79166	LT0071_44	C15	50	63	negative control	
79177	LT0071_44	D2	50	74	negative control	
79407	LT0071_44	M16	50	304	negative control	
79418	LT0071_44	N3	50	315	negative control	
79439	LT0071_44	N24	50	336	positive control	COPB
79455	LT0071_44	O16	50	352	negative control	
79466	LT0071_44	P3	50	363	negative control	
79484	LT0071_44	P21	50	381	positive control	COPB
79487	LT0071_44	P24	50	384	positive control	COPB
79488	LT0071_45	A1	50	1	positive control	ENSG00000149503
79491	LT0071_45	A4	50	4	positive control	ENSG00000149503
79502	LT0071_45	A15	50	15	negative control	
79513	LT0071_45	B2	50	26	negative control	
79536	LT0071_45	C1	50	49	positive control	ENSG00000149503
79539	LT0071_45	C4	50	52	positive control	ENSG00000149503
79550	LT0071_45	C15	50	63	negative control	
79561	LT0071_45	D2	50	74	negative control	
79791	LT0071_45	M16	50	304	negative control	
79802	LT0071_45	N3	50	315	negative control	
79820	LT0071_45	N21	50	333	positive control	COPB
79823	LT0071_45	N24	50	336	positive control	COPB
79839	LT0071_45	O16	50	352	negative control	
79850	LT0071_45	P3	50	363	negative control	
79868	LT0071_45	P21	50	381	positive control	COPB
79871	LT0071_45	P24	50	384	positive control	COPB
79872	LT0072_02	A1	50	1	positive control	ENSG00000149503
79875	LT0072_02	A4	50	4	positive control	ENSG00000149503
79886	LT0072_02	A15	50	15	negative control	
79897	LT0072_02	B2	50	26	negative control	
79920	LT0072_02	C1	50	49	positive control	ENSG00000149503
79923	LT0072_02	C4	50	52	positive control	ENSG00000149503
79934	LT0072_02	C15	50	63	negative control	
79945	LT0072_02	D2	50	74	negative control	
80175	LT0072_02	M16	50	304	negative control	
80186	LT0072_02	N3	50	315	negative control	
80204	LT0072_02	N21	50	333	positive control	COPB
80207	LT0072_02	N24	50	336	positive control	COPB
80223	LT0072_02	O16	50	352	negative control	
80234	LT0072_02	P3	50	363	negative control	
80252	LT0072_02	P21	50	381	positive control	COPB
80255	LT0072_02	P24	50	384	positive control	COPB
80256	LT0072_25	A1	50	1	positive control	ENSG00000149503
80259	LT0072_25	A4	50	4	positive control	ENSG00000149503
80270	LT0072_25	A15	50	15	negative control	
80281	LT0072_25	B2	50	26	negative control	
80304	LT0072_25	C1	50	49	positive control	ENSG00000149503
80307	LT0072_25	C4	50	52	positive control	ENSG00000149503
80318	LT0072_25	C15	50	63	negative control	
80329	LT0072_25	D2	50	74	negative control	
80559	LT0072_25	M16	50	304	negative control	
80570	LT0072_25	N3	50	315	negative control	
80588	LT0072_25	N21	50	333	positive control	COPB
80591	LT0072_25	N24	50	336	positive control	COPB
80607	LT0072_25	O16	50	352	negative control	
80618	LT0072_25	P3	50	363	negative control	
80636	LT0072_25	P21	50	381	positive control	COPB
80639	LT0072_25	P24	50	384	positive control	COPB
80643	LT0072_35	A4	50	4	positive control	ENSG00000149503
80654	LT0072_35	A15	50	15	negative control	
80665	LT0072_35	B2	50	26	negative control	
80688	LT0072_35	C1	50	49	positive control	ENSG00000149503
80691	LT0072_35	C4	50	52	positive control	ENSG00000149503
80702	LT0072_35	C15	50	63	negative control	
80713	LT0072_35	D2	50	74	negative control	
80943	LT0072_35	M16	50	304	negative control	
80954	LT0072_35	N3	50	315	negative control	
80991	LT0072_35	O16	50	352	negative control	
81002	LT0072_35	P3	50	363	negative control	
81020	LT0072_35	P21	50	381	positive control	COPB
81023	LT0072_35	P24	50	384	positive control	COPB
81024	LT0072_47	A1	50	1	positive control	ENSG00000149503
81027	LT0072_47	A4	50	4	positive control	ENSG00000149503
81038	LT0072_47	A15	50	15	negative control	
81049	LT0072_47	B2	50	26	negative control	
81072	LT0072_47	C1	50	49	positive control	ENSG00000149503
81075	LT0072_47	C4	50	52	positive control	ENSG00000149503
81086	LT0072_47	C15	50	63	negative control	
81097	LT0072_47	D2	50	74	negative control	
81327	LT0072_47	M16	50	304	negative control	
81338	LT0072_47	N3	50	315	negative control	
81356	LT0072_47	N21	50	333	positive control	COPB
81359	LT0072_47	N24	50	336	positive control	COPB
81375	LT0072_47	O16	50	352	negative control	
81386	LT0072_47	P3	50	363	negative control	
81404	LT0072_47	P21	50	381	positive control	COPB
81407	LT0072_47	P24	50	384	positive control	COPB
81408	LT0073_02	A1	50	1	positive control	ENSG00000149503
81411	LT0073_02	A4	50	4	positive control	ENSG00000149503
81422	LT0073_02	A15	50	15	negative control	
81433	LT0073_02	B2	50	26	negative control	
81456	LT0073_02	C1	50	49	positive control	ENSG00000149503
81459	LT0073_02	C4	50	52	positive control	ENSG00000149503
81470	LT0073_02	C15	50	63	negative control	
81481	LT0073_02	D2	50	74	negative control	
81711	LT0073_02	M16	50	304	negative control	
